lead_sponsor,2006_overdue,2006_total,2007_overdue,2007_total,2008_overdue,2008_total,2009_overdue,2009_total,2010_overdue,2010_total,2011_overdue,2011_total,2012_overdue,2012_total,2013_overdue,2013_total,2014_overdue,2014_total,lead_sponsor_slug
Norwegian University of Science and Technology,4.0,6.0,6.0,11.0,6.0,12.0,11.0,18.0,8.0,12.0,10.0,15.0,16.0,19.0,11.0,15.0,12.0,16.0,norwegian-university-of-science-and-technology
Novartis,47.0,66.0,36.0,62.0,11.0,59.0,15.0,66.0,8.0,34.0,11.0,35.0,2.0,19.0,0.0,4.0,1.0,4.0,novartis
Novartis Pharmaceuticals,24.0,31.0,29.0,50.0,9.0,51.0,16.0,45.0,18.0,57.0,24.0,58.0,41.0,81.0,36.0,98.0,8.0,63.0,novartis-pharmaceuticals
Novartis Vaccines,3.0,7.0,7.0,16.0,6.0,13.0,11.0,20.0,5.0,21.0,2.0,15.0,1.0,14.0,0.0,13.0,1.0,10.0,novartis-vaccines
Novo Nordisk A/S,20.0,31.0,8.0,17.0,1.0,12.0,4.0,18.0,0.0,26.0,1.0,11.0,0.0,12.0,0.0,11.0,2.0,9.0,novo-nordisk-a-s
Oregon Health and Science University,1.0,2.0,3.0,3.0,3.0,11.0,6.0,10.0,4.0,9.0,11.0,17.0,5.0,11.0,5.0,8.0,5.0,8.0,oregon-health-and-science-university
Oslo University Hospital,1.0,1.0,4.0,5.0,5.0,6.0,4.0,8.0,1.0,4.0,5.0,10.0,8.0,14.0,6.0,13.0,5.0,9.0,oslo-university-hospital
"Otsuka Pharmaceutical Co., Ltd.",0.0,3.0,,,0.0,5.0,1.0,6.0,1.0,14.0,0.0,4.0,1.0,6.0,2.0,2.0,5.0,6.0,otsuka-pharmaceutical-co-ltd
"Otsuka Pharmaceutical Development & Commercialization, Inc.",5.0,10.0,3.0,10.0,0.0,3.0,0.0,5.0,0.0,4.0,0.0,3.0,0.0,5.0,0.0,9.0,0.0,9.0,otsuka-pharmaceutical-development-commercialization-inc
Ottawa Hospital Research Institute,0.0,1.0,2.0,2.0,2.0,3.0,3.0,7.0,10.0,14.0,9.0,14.0,5.0,7.0,3.0,3.0,3.0,7.0,ottawa-hospital-research-institute
Pfizer,15.0,21.0,21.0,49.0,4.0,86.0,7.0,66.0,3.0,79.0,5.0,51.0,3.0,48.0,4.0,41.0,3.0,30.0,pfizer
Queen's University,4.0,4.0,4.0,5.0,6.0,9.0,3.0,6.0,3.0,7.0,4.0,6.0,9.0,10.0,4.0,5.0,5.0,5.0,queen-s-university
Radboud University,5.0,7.0,2.0,6.0,6.0,17.0,7.0,10.0,8.0,19.0,6.0,13.0,8.0,17.0,10.0,23.0,8.0,12.0,radboud-university
"Rigshospitalet, Denmark",3.0,4.0,3.0,4.0,6.0,10.0,6.0,14.0,9.0,10.0,7.0,12.0,8.0,12.0,11.0,19.0,12.0,20.0,rigshospitalet-denmark
"SCRI Development Innovations, LLC",6.0,6.0,6.0,7.0,0.0,21.0,0.0,8.0,0.0,6.0,0.0,3.0,0.0,5.0,0.0,3.0,0.0,8.0,scri-development-innovations-llc
Samsung Medical Center,1.0,2.0,4.0,5.0,3.0,7.0,12.0,16.0,9.0,11.0,7.0,12.0,11.0,21.0,14.0,17.0,4.0,5.0,samsung-medical-center
Sanofi,35.0,49.0,67.0,81.0,75.0,93.0,32.0,50.0,23.0,48.0,16.0,43.0,16.0,30.0,15.0,26.0,8.0,15.0,sanofi
"Sanofi Pasteur, a Sanofi Company",2.0,12.0,2.0,17.0,7.0,27.0,7.0,25.0,7.0,11.0,3.0,9.0,4.0,15.0,3.0,14.0,6.0,9.0,sanofi-pasteur-a-sanofi-company
Seoul National University Bundang Hospital,,,1.0,1.0,1.0,3.0,3.0,5.0,6.0,10.0,5.0,6.0,2.0,7.0,4.0,6.0,2.0,4.0,seoul-national-university-bundang-hospital
Seoul National University Hospital,2.0,3.0,3.0,3.0,9.0,13.0,7.0,19.0,11.0,18.0,28.0,42.0,19.0,37.0,29.0,40.0,28.0,32.0,seoul-national-university-hospital
Sheba Medical Center,1.0,1.0,1.0,2.0,4.0,6.0,9.0,14.0,7.0,8.0,2.0,4.0,1.0,1.0,2.0,4.0,1.0,2.0,sheba-medical-center
Shire,0.0,3.0,0.0,5.0,0.0,11.0,0.0,10.0,0.0,9.0,0.0,12.0,0.0,14.0,0.0,23.0,0.0,9.0,shire
Sidney Kimmel Comprehensive Cancer Center,1.0,1.0,9.0,9.0,2.0,4.0,10.0,16.0,1.0,4.0,4.0,4.0,1.0,2.0,4.0,4.0,2.0,4.0,sidney-kimmel-comprehensive-cancer-center
Southwest Oncology Group,8.0,10.0,13.0,15.0,0.0,11.0,0.0,3.0,0.0,5.0,0.0,4.0,1.0,4.0,0.0,4.0,,,southwest-oncology-group
St. Jude Medical,1.0,3.0,2.0,5.0,3.0,8.0,2.0,8.0,5.0,13.0,5.0,9.0,1.0,9.0,2.0,4.0,3.0,7.0,st-jude-medical
"St. Michael's Hospital, Toronto",0.0,1.0,1.0,1.0,5.0,5.0,6.0,11.0,1.0,3.0,2.0,3.0,6.0,8.0,7.0,7.0,4.0,4.0,st-michael-s-hospital-toronto
Stanford University,8.0,13.0,13.0,18.0,11.0,20.0,17.0,24.0,18.0,27.0,16.0,27.0,8.0,16.0,17.0,34.0,8.0,15.0,stanford-university
Sun Yat-sen University,,,2.0,3.0,2.0,3.0,6.0,9.0,4.0,7.0,5.0,11.0,7.0,8.0,8.0,11.0,7.0,8.0,sun-yat-sen-university
Sunnybrook Health Sciences Centre,1.0,1.0,0.0,1.0,3.0,3.0,3.0,6.0,4.0,7.0,7.0,10.0,8.0,12.0,2.0,3.0,9.0,9.0,sunnybrook-health-sciences-centre
Sunovion,3.0,4.0,0.0,2.0,0.0,6.0,1.0,3.0,0.0,7.0,0.0,9.0,0.0,5.0,0.0,9.0,0.0,3.0,sunovion
Takeda,14.0,25.0,16.0,40.0,8.0,31.0,2.0,25.0,4.0,14.0,2.0,11.0,6.0,19.0,21.0,35.0,2.0,11.0,takeda
Tehran University of Medical Sciences,0.0,1.0,3.0,3.0,10.0,13.0,5.0,6.0,4.0,6.0,8.0,11.0,7.0,10.0,10.0,15.0,5.0,5.0,tehran-university-of-medical-sciences
The Cleveland Clinic,3.0,3.0,4.0,5.0,0.0,4.0,6.0,7.0,2.0,7.0,7.0,10.0,6.0,11.0,2.0,4.0,6.0,10.0,the-cleveland-clinic
The Hospital for Sick Children,3.0,3.0,3.0,7.0,6.0,11.0,6.0,15.0,4.0,9.0,9.0,12.0,10.0,13.0,10.0,14.0,7.0,10.0,the-hospital-for-sick-children
The University of Hong Kong,2.0,2.0,1.0,2.0,3.0,6.0,3.0,6.0,10.0,14.0,6.0,10.0,10.0,14.0,9.0,17.0,7.0,9.0,the-university-of-hong-kong
The University of Texas Health Science Center at San Antonio,1.0,4.0,6.0,6.0,3.0,4.0,1.0,4.0,2.0,7.0,4.0,7.0,1.0,4.0,2.0,7.0,3.0,4.0,the-university-of-texas-health-science-center-at-san-antonio
"The University of Texas Health Science Center, Houston",0.0,1.0,5.0,6.0,1.0,8.0,2.0,4.0,3.0,4.0,7.0,15.0,5.0,14.0,6.0,15.0,5.0,6.0,the-university-of-texas-health-science-center-houston
UCB Pharma,10.0,23.0,10.0,15.0,0.0,21.0,1.0,5.0,0.0,10.0,0.0,7.0,0.0,8.0,0.0,3.0,0.0,4.0,ucb-pharma
UConn Health,2.0,2.0,4.0,5.0,2.0,3.0,3.0,6.0,9.0,10.0,3.0,4.0,7.0,9.0,0.0,1.0,3.0,4.0,uconn-health
Universitaire Ziekenhuizen Leuven,,,0.0,1.0,1.0,1.0,2.0,2.0,5.0,6.0,4.0,7.0,2.0,2.0,6.0,9.0,16.0,19.0,universitaire-ziekenhuizen-leuven
"University Health Network, Toronto",4.0,7.0,8.0,12.0,8.0,9.0,15.0,20.0,16.0,18.0,16.0,19.0,13.0,16.0,14.0,19.0,15.0,19.0,university-health-network-toronto
"University Hospital Inselspital, Berne",0.0,1.0,4.0,6.0,5.0,7.0,5.0,9.0,3.0,7.0,3.0,5.0,3.0,8.0,1.0,4.0,5.0,7.0,university-hospital-inselspital-berne
"University Hospital, Basel, Switzerland",0.0,1.0,2.0,4.0,4.0,9.0,3.0,7.0,7.0,12.0,8.0,11.0,2.0,4.0,8.0,10.0,4.0,6.0,university-hospital-basel-switzerland
"University Hospital, Bordeaux",1.0,1.0,2.0,3.0,2.0,3.0,5.0,7.0,10.0,13.0,9.0,13.0,10.0,13.0,15.0,16.0,11.0,11.0,university-hospital-bordeaux
"University Hospital, Clermont-Ferrand",0.0,1.0,1.0,2.0,7.0,9.0,4.0,5.0,4.0,6.0,5.0,8.0,5.0,6.0,12.0,14.0,4.0,4.0,university-hospital-clermont-ferrand
"University Hospital, Geneva",,,2.0,6.0,2.0,8.0,4.0,7.0,3.0,5.0,4.0,6.0,4.0,5.0,4.0,9.0,3.0,3.0,university-hospital-geneva
"University Hospital, Ghent",,,3.0,3.0,7.0,7.0,10.0,13.0,7.0,7.0,10.0,13.0,6.0,8.0,4.0,5.0,4.0,4.0,university-hospital-ghent
"University Hospital, Grenoble",0.0,1.0,1.0,1.0,1.0,4.0,3.0,3.0,4.0,5.0,5.0,6.0,7.0,9.0,7.0,9.0,9.0,10.0,university-hospital-grenoble
"University Hospital, Rouen",1.0,3.0,,,2.0,3.0,1.0,2.0,3.0,3.0,6.0,6.0,5.0,6.0,10.0,11.0,8.0,8.0,university-hospital-rouen
"University Hospital, Toulouse",1.0,2.0,1.0,3.0,5.0,8.0,3.0,5.0,5.0,7.0,6.0,8.0,6.0,7.0,17.0,17.0,11.0,11.0,university-hospital-toulouse
University Medical Center Groningen,0.0,1.0,0.0,1.0,0.0,2.0,4.0,8.0,0.0,1.0,1.0,3.0,5.0,8.0,6.0,9.0,6.0,8.0,university-medical-center-groningen
University of Aarhus,3.0,5.0,6.0,10.0,9.0,15.0,14.0,20.0,15.0,24.0,13.0,24.0,16.0,27.0,19.0,31.0,24.0,25.0,university-of-aarhus
University of Alabama at Birmingham,3.0,3.0,7.0,9.0,4.0,11.0,2.0,13.0,6.0,18.0,11.0,16.0,6.0,22.0,4.0,7.0,12.0,18.0,university-of-alabama-at-birmingham
University of Alberta,1.0,4.0,1.0,2.0,2.0,3.0,6.0,6.0,9.0,10.0,4.0,12.0,6.0,9.0,10.0,16.0,9.0,10.0,university-of-alberta
University of Arizona,3.0,3.0,3.0,3.0,4.0,6.0,1.0,2.0,3.0,6.0,2.0,3.0,1.0,6.0,3.0,5.0,6.0,7.0,university-of-arizona
University of Arkansas,2.0,2.0,3.0,4.0,0.0,4.0,3.0,7.0,1.0,6.0,2.0,4.0,0.0,5.0,0.0,3.0,2.0,7.0,university-of-arkansas
University of British Columbia,7.0,7.0,10.0,12.0,12.0,14.0,12.0,15.0,14.0,21.0,18.0,24.0,16.0,29.0,25.0,31.0,14.0,21.0,university-of-british-columbia
University of Calgary,3.0,5.0,1.0,3.0,1.0,3.0,5.0,5.0,9.0,9.0,11.0,12.0,11.0,13.0,7.0,9.0,6.0,7.0,university-of-calgary
"University of California, Davis",4.0,5.0,2.0,4.0,3.0,6.0,10.0,19.0,9.0,11.0,7.0,13.0,9.0,11.0,7.0,9.0,3.0,7.0,university-of-california-davis
"University of California, Los Angeles",2.0,2.0,1.0,5.0,9.0,16.0,10.0,17.0,7.0,14.0,11.0,24.0,10.0,17.0,8.0,20.0,15.0,19.0,university-of-california-los-angeles
"University of California, San Diego",2.0,2.0,1.0,1.0,4.0,9.0,8.0,18.0,10.0,14.0,9.0,15.0,11.0,17.0,7.0,13.0,15.0,20.0,university-of-california-san-diego
"University of California, San Francisco",8.0,12.0,14.0,17.0,9.0,24.0,18.0,43.0,11.0,25.0,15.0,31.0,15.0,46.0,17.0,34.0,18.0,28.0,university-of-california-san-francisco
University of Chicago,7.0,10.0,7.0,12.0,0.0,7.0,3.0,13.0,4.0,7.0,3.0,13.0,7.0,15.0,4.0,10.0,4.0,4.0,university-of-chicago
University of Cincinnati,2.0,2.0,4.0,5.0,3.0,9.0,1.0,5.0,4.0,5.0,3.0,9.0,1.0,10.0,1.0,5.0,2.0,3.0,university-of-cincinnati
"University of Colorado, Denver",5.0,6.0,3.0,5.0,6.0,10.0,9.0,15.0,6.0,16.0,8.0,19.0,13.0,21.0,8.0,16.0,7.0,14.0,university-of-colorado-denver
University of Copenhagen,2.0,2.0,4.0,5.0,5.0,8.0,5.0,10.0,5.0,10.0,4.0,10.0,9.0,14.0,8.0,12.0,4.0,6.0,university-of-copenhagen
University of Edinburgh,1.0,3.0,,,2.0,5.0,0.0,3.0,4.0,13.0,1.0,3.0,5.0,9.0,2.0,4.0,0.0,1.0,university-of-edinburgh
University of Florida,2.0,3.0,2.0,4.0,2.0,9.0,1.0,16.0,2.0,13.0,7.0,13.0,3.0,15.0,6.0,14.0,5.0,19.0,university-of-florida
University of Illinois at Chicago,,,4.0,4.0,2.0,5.0,1.0,7.0,2.0,6.0,3.0,6.0,4.0,5.0,3.0,5.0,2.0,3.0,university-of-illinois-at-chicago
University of Iowa,1.0,2.0,2.0,2.0,6.0,9.0,6.0,7.0,2.0,6.0,5.0,11.0,4.0,8.0,1.0,4.0,7.0,12.0,university-of-iowa
University of Manitoba,,,1.0,2.0,4.0,7.0,1.0,3.0,2.0,5.0,5.0,8.0,14.0,19.0,6.0,9.0,11.0,11.0,university-of-manitoba
University of Maryland,2.0,3.0,2.0,3.0,4.0,7.0,3.0,3.0,5.0,8.0,4.0,7.0,6.0,13.0,6.0,6.0,6.0,8.0,university-of-maryland
University of Miami,1.0,2.0,3.0,4.0,5.0,9.0,2.0,8.0,2.0,7.0,7.0,11.0,4.0,8.0,5.0,8.0,3.0,7.0,university-of-miami
University of Michigan,2.0,6.0,6.0,7.0,7.0,14.0,10.0,21.0,9.0,24.0,10.0,14.0,18.0,25.0,14.0,23.0,19.0,29.0,university-of-michigan
University of Minnesota - Clinical and Translational Science Institute,1.0,3.0,3.0,6.0,8.0,12.0,3.0,13.0,2.0,11.0,3.0,14.0,4.0,14.0,11.0,14.0,8.0,18.0,university-of-minnesota-clinical-and-translational-science-institute
University of New Mexico,2.0,2.0,4.0,7.0,3.0,6.0,0.0,2.0,3.0,8.0,2.0,2.0,2.0,6.0,3.0,5.0,0.0,4.0,university-of-new-mexico
"University of North Carolina, Chapel Hill",3.0,3.0,8.0,13.0,5.0,11.0,5.0,10.0,13.0,22.0,6.0,23.0,18.0,29.0,12.0,22.0,16.0,30.0,university-of-north-carolina-chapel-hill
University of Nottingham,,,,,1.0,2.0,2.0,4.0,3.0,5.0,5.0,7.0,8.0,12.0,8.0,12.0,6.0,6.0,university-of-nottingham
University of Oklahoma,1.0,2.0,5.0,6.0,2.0,6.0,0.0,4.0,5.0,6.0,4.0,5.0,7.0,7.0,2.0,2.0,4.0,4.0,university-of-oklahoma
University of Oxford,,,,,0.0,2.0,1.0,5.0,4.0,9.0,1.0,2.0,5.0,10.0,8.0,12.0,5.0,10.0,university-of-oxford
University of Pennsylvania,7.0,9.0,8.0,11.0,10.0,23.0,15.0,26.0,13.0,21.0,12.0,26.0,20.0,36.0,14.0,24.0,21.0,28.0,university-of-pennsylvania
University of Pittsburgh,3.0,8.0,14.0,20.0,4.0,19.0,14.0,30.0,9.0,21.0,12.0,26.0,7.0,24.0,18.0,32.0,17.0,31.0,university-of-pittsburgh
University of Rochester,7.0,7.0,9.0,10.0,1.0,9.0,4.0,14.0,2.0,15.0,2.0,9.0,7.0,12.0,5.0,12.0,3.0,10.0,university-of-rochester
University of Sao Paulo,0.0,2.0,7.0,11.0,5.0,14.0,10.0,18.0,10.0,20.0,22.0,33.0,27.0,40.0,27.0,33.0,17.0,22.0,university-of-sao-paulo
University of Sao Paulo General Hospital,,,,,6.0,8.0,5.0,8.0,7.0,7.0,5.0,7.0,4.0,4.0,9.0,11.0,7.0,9.0,university-of-sao-paulo-general-hospital
University of Southern California,3.0,4.0,3.0,4.0,4.0,7.0,1.0,6.0,4.0,4.0,1.0,6.0,7.0,9.0,7.0,14.0,5.0,6.0,university-of-southern-california
University of Texas Southwestern Medical Center,1.0,2.0,6.0,8.0,3.0,6.0,4.0,8.0,3.0,8.0,7.0,15.0,2.0,6.0,5.0,13.0,8.0,9.0,university-of-texas-southwestern-medical-center
University of Toronto,1.0,1.0,3.0,6.0,5.0,7.0,3.0,4.0,7.0,7.0,4.0,8.0,7.0,12.0,3.0,6.0,4.0,7.0,university-of-toronto
University of Utah,3.0,6.0,3.0,5.0,4.0,10.0,2.0,8.0,6.0,12.0,1.0,9.0,5.0,10.0,2.0,11.0,2.0,7.0,university-of-utah
University of Virginia,1.0,2.0,2.0,2.0,4.0,5.0,2.0,7.0,4.0,7.0,3.0,7.0,1.0,6.0,6.0,11.0,6.0,8.0,university-of-virginia
University of Washington,11.0,11.0,9.0,12.0,10.0,20.0,12.0,27.0,15.0,29.0,13.0,24.0,10.0,20.0,9.0,22.0,4.0,9.0,university-of-washington
"University of Wisconsin, Madison",9.0,10.0,9.0,14.0,12.0,22.0,9.0,18.0,7.0,16.0,13.0,18.0,7.0,15.0,10.0,16.0,5.0,12.0,university-of-wisconsin-madison
University of Zurich,1.0,1.0,3.0,5.0,2.0,6.0,5.0,13.0,7.0,11.0,2.0,7.0,7.0,19.0,8.0,11.0,8.0,12.0,university-of-zurich
VA Office of Research and Development,11.0,16.0,21.0,34.0,9.0,48.0,7.0,56.0,6.0,53.0,5.0,55.0,4.0,43.0,4.0,54.0,5.0,31.0,va-office-of-research-and-development
"Valeant Pharmaceuticals International, Inc.",5.0,5.0,4.0,7.0,3.0,9.0,0.0,8.0,1.0,6.0,0.0,1.0,3.0,3.0,4.0,6.0,1.0,2.0,valeant-pharmaceuticals-international-inc
Vanderbilt University,6.0,8.0,9.0,15.0,12.0,18.0,10.0,19.0,10.0,20.0,9.0,20.0,4.0,12.0,8.0,14.0,11.0,13.0,vanderbilt-university
Virginia Commonwealth University,2.0,2.0,2.0,2.0,3.0,6.0,0.0,4.0,3.0,5.0,0.0,2.0,6.0,9.0,7.0,15.0,3.0,5.0,virginia-commonwealth-university
Wageningen University,1.0,1.0,,,0.0,3.0,0.0,5.0,0.0,1.0,11.0,16.0,7.0,11.0,3.0,4.0,5.0,5.0,wageningen-university
Washington University School of Medicine,3.0,6.0,3.0,6.0,6.0,14.0,10.0,17.0,6.0,17.0,10.0,30.0,10.0,19.0,8.0,14.0,12.0,18.0,washington-university-school-of-medicine
Weill Medical College of Cornell University,6.0,7.0,3.0,5.0,3.0,7.0,6.0,6.0,4.0,4.0,4.0,4.0,4.0,7.0,3.0,6.0,2.0,2.0,weill-medical-college-of-cornell-university
Wyeth is now a wholly owned subsidiary of Pfizer,8.0,12.0,4.0,10.0,3.0,34.0,3.0,23.0,0.0,12.0,,,,,,,,,wyeth-is-now-a-wholly-owned-subsidiary-of-pfizer
Yale University,4.0,8.0,4.0,7.0,6.0,17.0,7.0,18.0,11.0,18.0,3.0,21.0,8.0,24.0,17.0,36.0,12.0,20.0,yale-university
Yonsei University,0.0,1.0,2.0,3.0,4.0,5.0,4.0,6.0,27.0,31.0,25.0,30.0,26.0,41.0,26.0,41.0,28.0,36.0,yonsei-university
